name,logS,smiles
"1,1,1,2-Tetrachloroethane",-2.18,ClCC(Cl)(Cl)Cl
"1,1,1-Trichloroethane",-2,CC(Cl)(Cl)Cl
"1,1,2,2-Tetrachloroethane",-1.74,ClC(Cl)C(Cl)Cl
"1,1,2-Trichloroethane",-1.48,ClCC(Cl)Cl
"1,1,2-Trichlorotrifluoroethane",-3.04,FC(F)(Cl)C(F)(Cl)Cl
"1,1-Dichloroethane",-1.29,CC(Cl)Cl
"1,1-Dichloroethylene",-1.64,C=C(Cl)Cl
"1,1-Diethoxyethane ",-0.43,CCOC(C)OCC
"1,2,3,4-Tetrachlorobenzene",-4.57,Clc1ccc(Cl)c(Cl)c1Cl
"1,2,3,4-Tetrahydronapthalene",-4.37,c1ccc2c(c1)CCCC2
"1,2,3,5-Tetrachlorobenzene",-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
"1,2,3-Trichlorobenzene",-4,Clc1cccc(Cl)c1Cl
"1,2,3-Trimethylbenzene ",-3.2,Cc1cccc(C)c1C
"1,2,4,5-Tetrabromobenzene",-6.98,Brc1cc(Br)c(Br)cc1Br
"1,2,4,5-Tetrachlorobenzene",-5.56,Clc1cc(Cl)c(Cl)cc1Cl
"1,2,4,5-Tetramethylbenzene",-4.59,Cc1cc(C)c(C)cc1C
"1,2,4-tribromobenzene",-4.5,Brc1ccc(Br)c(Br)c1
"1,2,4-Trichlorobenzene",-3.59,Clc1ccc(Cl)c(Cl)c1
"1,2,4-Trimethylbenzene",-3.31,Cc1ccc(C)c(C)c1
"1,2-Benzenediol",0.62,Oc1ccccc1O
"1,2-Dibromobenzene",-3.5,Brc1ccccc1Br
"1,2-Dibromoethane",-1.68,BrCCBr
"1,2-Dichlorobenzene",-3.05,Clc1ccccc1Cl
"1,2-Dichloroethane",-1.06,ClCCCl
"1,2-Dichloropropane",-1.6,CC(Cl)CCl
"1,2-Dichlorotetrafluoroethane",-2.74,FC(F)(Cl)C(F)(F)Cl
"1,2-Diethoxyethane ",-0.77,CCOCCOCC
"1,2-Diethylbenzene",-3.28,CCc1ccccc1CC
"1,2-Dinitrobenzene",-3.1,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
"1,2-Propylene oxide",-0.59,CC1CO1
"1,3,5-Tribromobenzene",-5.6,Brc1cc(Br)cc(Br)c1
"1,3,5-Trichlorobenzene",-4.48,Clc1cc(Cl)cc(Cl)c1
"1,3,5-Trimethylbenzene ",-3.4,Cc1cc(C)cc(C)c1
"1,3,5-Trinitrobenzene",-2.89,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
"1,3-Benzenediol",0.81,Oc1cccc(O)c1
"1,3-Butadiene",-1.87,C=CC=C
"1,3-Dibromobenzene",-3.54,Brc1cccc(Br)c1
"1,3-Dichlorobenzene",-3.04,Clc1cccc(Cl)c1
"1,3-Dichloropropane",-1.62,ClCCCCl
"1,3-diethylthiourea",-1.46,CCNC(=S)NCC
"1,3-Difluorobenzene",-2,Fc1cccc(F)c1
"1,3-Dimethylnaphthalene",-4.29,Cc1cc(C)c2ccccc2c1
"1,3-Dinitrobenzene",-2.29,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
"1,4-Benzenediol",-0.17,Oc1ccc(O)cc1
"1,4-Cyclohexadiene",-2.06,C1=CCC=CC1
"1,4-Dibromobenzene",-4.07,Brc1ccc(Br)cc1
"1,4-Dichlorobenzene",-3.27,Clc1ccc(Cl)cc1
"1,4-Diethylbenzene ",-3.75,CCc1ccc(CC)cc1
"1,4-Difluorobenzene",-1.97,Fc1ccc(F)cc1
"1,4-Dimethylnaphthalene ",-4.14,Cc1ccc(C)c2ccccc12
"1,4-Dinitrobenzene",-3.39,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
"1,4-Pentadiene ",-2.09,C=CCC=C
"1,5-Dimethlnapthalene",-4.679,Cc1cccc2c(C)cccc12
"1,5-Hexadiene ",-2.68,C=CCCC=C
"1,7-phenantroline",-2.68,c1cnc2c(c1)ccc1ncccc12
17a-Methyltestosterone,-3.999,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
1-aminoacridine,-4.22,Nc1cccc2nc3ccccc3cc12
1-Bromo-2-methylpropane,-2.43,CC(C)CBr
1-Bromobutane,-2.37,CCCCBr
1-Bromoheptane,-4.43,CCCCCCCBr
1-Bromohexane,-3.81,CCCCCCBr
1-Bromonapthalene,-4.35,Brc1cccc2ccccc12
1-Bromooctane,-5.06,CCCCCCCCBr
1-Bromopentane,-3.08,CCCCCBr
1-Bromopropane,-1.73,CCCBr
1-Butanol,0,CCCCO
1-Butene,-1.94,C=CCC
1-Butyne,-1.24,C#CCC
1-Chloro-2-bromoethane,-1.32,ClCCBr
1-Chloro-2-methylpropane,-2,CC(C)CCl
1-Chlorobutane,-2.03,CCCCCl
1-Chloroheptane,-4,CCCCCCCCl
1-Chlorohexane,-3.12,CCCCCCCl
1-Chloronapthalene,-3.93,Clc1cccc2ccccc12
1-Chloropentane,-2.73,CCCCCCl
1-Chloropropane,-1.47,CCCCl
1-Decanol,-3.63,CCCCCCCCCCO
1-Decene,-5.51,C=CCCCCCCCC
1-Dodecanol,-4.8,CCCCCCCCCCCCO
1-Ethylnaphthalene ,-4.17,CCc1cccc2ccccc12
1-Heptanol,-1.81,CCCCCCCO
1-Heptene,-3.73,C=CCCCCC
1-Heptyne,-3.01,C#CCCCCC
1-Hexadecanol,-7,CCCCCCCCCCCCCCCCO
1-Hexanol,-1.24,CCCCCCO
1-Hexene,-3.23,C=CCCCC
1-Hexene-3-ol,-0.59,C=CC(O)CCC
1-Hexyne ,-2.36,C#CCCCC
1-Iodobutane,-2.96,CCCCI
1-Iodoheptane,-4.81,CCCCCCCI
1-Iodonapthalene,-4.55,Ic1cccc2ccccc12
1-Iodopropane,-2.29,CCCI
1-Methylcyclohexene ,-3.27,CC1=CCCCC1
1-Methylfluorene,-5.22,Cc1cccc2c1Cc1ccccc1-2
1-Methylnaphthalene,-3.7,Cc1cccc2ccccc12
1-Methylphenanthrene,-5.85,Cc1cccc2c1ccc1ccccc12
1-methyluracil,-0.807,Cn1ccc(=O)[nH]c1=O
1-Napthol,-2.22,Oc1cccc2ccccc12
1-Napthylamine,-1.92,Nc1cccc2ccccc12
1-Nitronapthalene,-3.54,O=[N+]([O-])c1cccc2ccccc12
1-Nitropropane,-0.8,CCC[N+](=O)[O-]
1-Nonanol,-3.01,CCCCCCCCCO
1-Nonene ,-5.05,C=CCCCCCCC
1-Nonyne ,-4.24,C#CCCCCCCC
1-Octadecanol,-8.4,CCCCCCCCCCCCCCCCCCO
1-Octanol,-2.39,CCCCCCCCO
1-Octene ,-4.44,C=CCCCCCC
1-Octyne ,-3.66,C#CCCCCCC
1-Pentadecanol,-6.35,CCCCCCCCCCCCCCCO
1-Pentanol,-0.6,CCCCCO
1-Pentene ,-2.68,C=CCCC
1-Pentyne,-1.64,C#CCCC
1-Phenylethanol,-0.92,CC(O)c1ccccc1
1-Propanol,0.62,CCCO
1-Tetradecanol,-5.84,CCCCCCCCCCCCCCO
"2,2',3,3',4,4',5,5',6,6'-PCB",-11.6,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
"2,2',3,3',4,4',5,5'-PCB",-9.16,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
"2,2',3,3',4,4'-PCB",-8.01,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
"2,2',3,3',5,5',6,6'-PCB",-9.15,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
"2,2',3,3',5,6-PCB",-8.6,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
"2,2',3,3'-PCB",-7.28,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl
"2,2',3,4,4',5',6-PCB",-7.92,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
"2,2',3,4,5,5',6-PCB",-8.94,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
"2,2',3,4,5,5'-PCB",-7.68,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
"2,2',3,4,5-PCB",-7.21,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl
"2,2',3,4,6-PCB",-7.43,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1
"2,2',3,5,5',6-PCB",-7.42,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
"2,2',3,5'-PCB",-6.47,Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1
"2,2,3-Trimethylbutane",-4.36,CC(C)C(C)(C)C
"2,2',4,4',5,5'-PCB",-8.56,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
"2,2',4,4',6,6'-PCB",-8.71,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1
"2,2',4,5'-PCB",-6.57,Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1
"2,2,4,6,6'-PCB",-7.32,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
"2,2,4-Trimethylpentane",-4.74,CC(C)CC(C)(C)C
"2,2,5-Trimethylhexane",-5.05,CC(C)CCC(C)(C)C
"2,2',6,6'-PCB",-7.39,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
"2,2-Dimethyl-1-butanol",-1.04,CCC(C)(C)CO
"2,2-Dimethylbutane",-3.55,CCC(C)(C)C
"2,2-Dimethylpentane",-4.36,CCCC(C)(C)C
"2,2-Dimethylpentanol",-1.52,CCCC(C)(C)CO
"2,2-Dimethylpropanol",-0.4,CC(C)(C)CO
"2,2'-PCB",-5.27,Clc1ccccc1-c1ccccc1Cl
"2,3,3',4,4',5-PCB",-7.82,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
"2,3,3',4,4'6-PCB",-7.66,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
"2,3',4,4',5-PCB",-7.39,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
"2,3',4,4'-PCB",-7.8,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1
"2,3,4,5,6-PCB",-7.92,Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl
"2,3',4',5-PCB",-7.25,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1
"2,3,4,5-Tetrachlorophenol",-3.15,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
"2,3,4,6-Tetrachlorophenol",-3.1,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
"2',3,4-PCB",-6.29,Clc1ccc(-c2cccc(Cl)c2Cl)cc1
